Time,Car,X,Y,"Distance to BS(4982,905)"
378,4412,5158,549,397
378,1534,4589,957,396
378,177,5342,1055,390
378,2327,5191,524,434
378,4889,4843,769,193
378,4555,5142,568,372
378,582,4854,787,173
378,3126,5458,334,743
379,177,5404,1222,528
379,1534,4752,847,236
379,582,4858,785,172
379,4959,4665,903,316
379,3684,4773,1210,369
379,3624,4513,1024,484
379,4889,4843,769,193
379,4412,5434,353,713
379,4555,5055,651,263
380,4555,4974,709,195
380,582,4860,781,173
380,1534,4781,823,216
380,3624,4767,837,224
380,3684,4741,1024,268
380,4959,4878,769,170
380,4889,4845,767,193
381,3684,4596,978,392
381,4889,4844,767,194
381,1534,4862,761,186
381,4959,4880,767,170
381,3624,4763,845,226
381,2326,5424,390,678
381,4983,5077,1233,342
381,582,4862,779,173
381,4555,4974,707,197
382,1771,4759,870,224
382,2326,5074,636,284
382,4889,4902,730,191
382,3624,4953,705,201
382,4555,4933,736,175
382,582,4895,756,171
382,1534,4855,754,196
382,4983,4868,752,190
382,4959,4934,787,127
383,2326,4812,819,189
383,1771,5064,613,303
383,1534,4853,761,192
383,4983,4857,725,218
383,582,4905,754,168
383,4889,5221,506,464
383,4555,4720,885,262
383,3624,5226,510,464
383,4959,5072,1152,263
384,1771,5408,359,692
384,4555,4564,1007,430
384,1534,4854,760,192
384,4983,5079,1212,322
384,2326,4617,957,367
384,582,4950,794,114
385,582,4940,804,108
385,1534,4854,760,192
386,1534,4854,760,192
386,582,5018,1015,116
387,1534,4894,717,206
388,1534,5016,636,271
388,604,4681,895,300
389,1534,5317,431,580
389,604,4779,825,217
390,604,4779,825,217
390,5068,4561,988,428
391,604,4788,819,211
391,5068,4777,833,216
392,604,4979,676,228
392,5068,4839,783,187
393,604,5260,471,514
393,5068,4842,781,186
394,62,5457,382,705
394,2485,5380,423,625
394,1837,5231,524,455
394,5068,4969,690,214
395,62,5075,657,264
395,1283,4828,775,200
395,1837,4909,750,170
395,3303,4836,1241,366
395,2485,4940,719,190
395,2465,4511,1019,483
395,5068,5366,400,634
396,1283,4849,771,187
396,3930,5288,475,527
396,2485,4651,939,332
396,3303,4963,1071,167
396,1837,4635,951,349
396,2465,4845,794,175
396,62,4956,752,154
397,3930,5206,535,432
397,872,4754,421,534
397,2465,5041,1040,148
397,62,4956,752,154
397,1714,4759,437,517
397,1289,4802,1164,315
397,1283,4849,771,187
397,3303,4903,796,133
398,872,5009,1007,106
398,1283,4849,771,187
398,1714,4961,928,30
398,1289,4696,918,285
398,5281,5151,514,425
398,3930,5205,535,431
398,3303,4902,763,162
398,62,4956,752,154
399,3303,5099,593,332
399,1283,4849,771,187
399,5281,4998,696,209
399,3930,5205,535,431
399,62,4956,752,154
400,1283,5019,643,263
400,5281,4850,806,163
400,3930,5004,672,233
400,62,4807,854,181
400,3303,5176,545,408
401,1283,5449,348,727
401,4688,4807,816,195
401,5281,4520,1034,479
402,4688,4854,771,184
403,4688,4854,771,184
404,1412,4837,792,183
404,4688,4855,775,180
405,1412,4857,775,179
405,4688,4855,775,180
406,4630,5235,518,462
406,4688,4950,717,190
406,1412,4857,775,179
407,4688,5263,497,495
407,1412,4857,775,179
407,4630,4934,740,171
408,4630,4746,876,237
408,1412,4857,775,179
408,2930,4521,1046,481
409,4630,4532,1032,466
409,1412,4976,686,218
409,1316,4814,810,192
409,356,4601,963,384
409,2930,4803,823,196
410,356,4841,798,176
410,1747,4584,959,401
410,1412,5370,404,634
410,1316,4850,773,185
410,2930,4829,808,180
411,1316,4850,773,185
